EmployeeNumber,JobRole,num_skill_gaps,precision@1,recall@1,mrr@1,precision@3,recall@3,mrr@3,precision@5,recall@5,mrr@5
54,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
55,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
61,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
68,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
76,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
84,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
86,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
90,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
94,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
95,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,Research Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
103,Human Resources,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
104,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
113,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
116,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
117,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
128,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
133,Human Resources,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
143,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
145,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
148,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
151,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
153,Manager,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
158,Manager,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
163,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
165,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
169,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
174,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,Human Resources,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
182,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
183,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,Human Resources,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
190,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
192,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
193,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
197,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
201,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
202,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
206,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
207,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
208,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
214,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
215,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
217,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
218,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
223,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
224,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
226,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
227,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
228,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
230,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
231,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
233,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
235,Sales Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
238,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
240,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
241,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
242,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
243,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
244,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
245,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
246,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
247,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
248,Sales Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
249,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
252,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
253,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
254,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
258,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
259,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
261,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
262,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
267,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
269,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
270,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
271,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
274,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
275,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
277,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
281,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
282,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
283,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
284,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
286,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
287,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
291,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
292,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
293,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
297,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
298,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
299,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
303,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
304,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
305,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
306,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
307,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
308,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
309,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
311,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
312,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
314,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
315,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
316,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
319,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
321,Human Resources,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
323,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
325,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
327,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
328,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
330,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
331,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
332,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
333,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
334,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
335,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
336,Manager,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
337,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
338,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
339,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
340,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
341,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
342,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
343,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
346,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
347,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
349,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
350,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
351,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
352,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
353,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
355,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
359,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
361,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
362,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
363,Manager,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
364,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
366,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
367,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
369,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
372,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
373,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
374,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
376,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
377,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
378,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
379,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
380,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
381,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
382,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
384,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
385,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
386,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
387,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
388,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
389,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
390,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
391,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
392,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
393,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
395,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
396,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
397,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
