occupation_code,skill_name,importance_score
11-3051.01,Mathematics,3.12
11-3051.01,Science,2.25
11-3051.01,Critical Thinking,3.75
11-3051.01,Active Learning,3.62
11-3051.01,Learning Strategies,3.12
11-3051.01,Monitoring,3.88
11-3051.02,Reading Comprehension,3.88
11-3051.02,Active Listening,3.62
11-3051.02,Writing,3.62
11-3051.02,Speaking,3.88
11-3051.02,Mathematics,3.25
11-3051.02,Science,2.38
11-3051.02,Critical Thinking,4.0
11-3051.02,Active Learning,3.5
11-3051.02,Learning Strategies,3.25
11-3051.02,Monitoring,3.88
11-3051.03,Reading Comprehension,3.88
11-3051.03,Active Listening,3.75
11-3051.03,Writing,3.5
11-3051.03,Speaking,3.62
11-3051.03,Mathematics,3.0
11-3051.03,Science,3.0
11-3051.03,Critical Thinking,3.88
11-3051.03,Active Learning,3.25
11-3051.03,Learning Strategies,3.38
11-3051.03,Monitoring,3.75
11-3051.04,Reading Comprehension,3.88
11-3051.04,Active Listening,3.88
11-3051.04,Writing,3.12
11-3051.04,Speaking,4.0
11-3051.04,Mathematics,3.0
11-3051.04,Science,2.5
11-3051.04,Critical Thinking,4.0
11-3051.04,Active Learning,3.12
11-3051.04,Learning Strategies,3.0
11-3051.04,Monitoring,3.88
11-3051.06,Reading Comprehension,3.88
11-3051.06,Active Listening,4.12
11-3051.06,Writing,3.5
11-3051.06,Speaking,4.12
11-3051.06,Mathematics,3.25
11-3051.06,Science,3.25
11-3051.06,Critical Thinking,3.75
11-3051.06,Active Learning,3.62
11-3051.06,Learning Strategies,3.62
11-3051.06,Monitoring,3.88
11-3061.00,Reading Comprehension,3.88
11-3061.00,Active Listening,4.0
11-3061.00,Writing,3.88
11-3061.00,Speaking,4.0
11-3061.00,Mathematics,3.12
11-3061.00,Science,1.0
11-3061.00,Critical Thinking,3.75
11-3061.00,Active Learning,3.25
11-3061.00,Learning Strategies,3.0
11-3061.00,Monitoring,3.88
11-3071.00,Reading Comprehension,3.88
11-3071.00,Active Listening,3.88
11-3071.00,Writing,3.62
11-3071.00,Speaking,3.62
11-3071.00,Mathematics,2.75
11-3071.00,Science,1.0
11-3071.00,Critical Thinking,3.62
11-3071.00,Active Learning,3.62
11-3071.00,Learning Strategies,3.38
11-3071.00,Monitoring,3.75
11-3071.04,Reading Comprehension,4.0
11-3071.04,Active Listening,4.0
11-3071.04,Writing,3.88
11-3071.04,Speaking,4.0
11-3071.04,Mathematics,3.0
11-3071.04,Science,1.12
11-3071.04,Critical Thinking,3.88
11-3071.04,Active Learning,3.75
11-3071.04,Learning Strategies,3.0
11-3071.04,Monitoring,4.0
11-3111.00,Reading Comprehension,4.0
11-3111.00,Active Listening,4.0
11-3111.00,Writing,4.0
11-3111.00,Speaking,4.0
11-3111.00,Mathematics,3.0
11-3111.00,Science,1.0
11-3111.00,Critical Thinking,3.88
11-3111.00,Active Learning,3.75
11-3111.00,Learning Strategies,3.0
11-3111.00,Monitoring,3.38
11-3121.00,Reading Comprehension,4.25
11-3121.00,Active Listening,4.38
11-3121.00,Writing,4.12
11-3121.00,Speaking,4.25
11-3121.00,Mathematics,3.0
11-3121.00,Science,1.5
11-3121.00,Critical Thinking,4.0
11-3121.00,Active Learning,4.0
11-3121.00,Learning Strategies,3.75
11-3121.00,Monitoring,4.0
11-3131.00,Reading Comprehension,4.0
11-3131.00,Active Listening,4.0
11-3131.00,Writing,3.88
11-3131.00,Speaking,4.0
11-3131.00,Mathematics,2.88
11-3131.00,Science,1.5
11-3131.00,Critical Thinking,3.75
11-3131.00,Active Learning,3.75
11-3131.00,Learning Strategies,4.25
11-3131.00,Monitoring,3.88
11-9013.00,Reading Comprehension,3.75
11-9013.00,Active Listening,3.88
11-9013.00,Writing,3.25
11-9013.00,Speaking,3.62
11-9013.00,Mathematics,2.88
11-9013.00,Science,2.62
11-9013.00,Critical Thinking,3.88
11-9013.00,Active Learning,3.38
11-9013.00,Learning Strategies,2.88
11-9013.00,Monitoring,3.38
11-9021.00,Reading Comprehension,3.88
11-9021.00,Active Listening,4.0
11-9021.00,Writing,3.75
11-9021.00,Speaking,3.88
11-9021.00,Mathematics,3.5
11-9021.00,Science,2.12
11-9021.00,Critical Thinking,4.0
11-9021.00,Active Learning,3.88
11-9021.00,Learning Strategies,3.12
11-9021.00,Monitoring,3.88
11-9031.00,Reading Comprehension,4.0
11-9031.00,Active Listening,4.0
11-9031.00,Writing,3.88
11-9031.00,Speaking,4.0
11-9031.00,Mathematics,2.75
11-9031.00,Science,1.88
11-9031.00,Critical Thinking,4.0
11-9031.00,Active Learning,3.88
11-9031.00,Learning Strategies,3.88
11-9031.00,Monitoring,3.88
11-9032.00,Reading Comprehension,4.75
11-9032.00,Active Listening,4.88
11-9032.00,Writing,4.62
11-9032.00,Speaking,4.75
11-9032.00,Mathematics,3.0
11-9032.00,Science,2.0
11-9032.00,Critical Thinking,4.62
11-9032.00,Active Learning,4.0
11-9032.00,Learning Strategies,4.88
11-9032.00,Monitoring,4.0
11-9033.00,Reading Comprehension,4.12
11-9033.00,Active Listening,4.0
11-9033.00,Writing,4.0
11-9033.00,Speaking,4.0
11-9033.00,Mathematics,2.88
11-9033.00,Science,1.5
11-9033.00,Critical Thinking,4.12
11-9033.00,Active Learning,3.88
11-9033.00,Learning Strategies,3.75
11-9033.00,Monitoring,4.0
11-9041.00,Reading Comprehension,4.12
11-9041.00,Active Listening,4.0
11-9041.00,Writing,4.0
11-9041.00,Speaking,4.0
11-9041.00,Mathematics,3.88
11-9041.00,Science,2.62
11-9041.00,Critical Thinking,3.88
11-9041.00,Active Learning,3.88
11-9041.00,Learning Strategies,3.25
11-9041.00,Monitoring,3.75
11-9041.01,Reading Comprehension,3.62
11-9041.01,Active Listening,3.5
11-9041.01,Writing,3.62
11-9041.01,Speaking,3.62
11-9041.01,Mathematics,3.12
11-9041.01,Science,3.12
11-9041.01,Critical Thinking,3.62
11-9041.01,Active Learning,3.25
11-9041.01,Learning Strategies,2.88
11-9041.01,Monitoring,3.25
11-9051.00,Reading Comprehension,3.75
11-9051.00,Active Listening,3.88
11-9051.00,Writing,3.0
11-9051.00,Speaking,3.88
11-9051.00,Mathematics,2.88
11-9051.00,Science,1.62
11-9051.00,Critical Thinking,3.62
11-9051.00,Active Learning,3.12
11-9051.00,Learning Strategies,3.12
11-9051.00,Monitoring,3.88
11-9071.00,Reading Comprehension,3.5
11-9071.00,Active Listening,3.75
11-9071.00,Writing,3.62
11-9071.00,Speaking,3.88
11-9071.00,Mathematics,3.12
11-9071.00,Science,1.62
11-9071.00,Critical Thinking,4.0
11-9071.00,Active Learning,3.5
11-9071.00,Learning Strategies,3.25
11-9071.00,Monitoring,3.88
11-9072.00,Reading Comprehension,3.88
11-9072.00,Active Listening,3.88
11-9072.00,Writing,3.5
11-9072.00,Speaking,3.88
11-9072.00,Mathematics,2.5
11-9072.00,Science,1.0
11-9072.00,Critical Thinking,3.75
11-9072.00,Active Learning,3.25
11-9072.00,Learning Strategies,3.12
11-9072.00,Monitoring,3.75
11-9081.00,Reading Comprehension,3.88
11-9081.00,Active Listening,4.12
11-9081.00,Writing,3.88
11-9081.00,Speaking,4.0
11-9081.00,Mathematics,2.62
11-9081.00,Science,1.0
11-9081.00,Critical Thinking,3.75
11-9081.00,Active Learning,3.75
11-9081.00,Learning Strategies,3.38
11-9081.00,Monitoring,3.75
11-9111.00,Reading Comprehension,4.0
11-9111.00,Active Listening,4.0
11-9111.00,Writing,4.0
11-9111.00,Speaking,4.12
11-9111.00,Mathematics,2.75
11-9111.00,Science,2.5
11-9111.00,Critical Thinking,4.12
11-9111.00,Active Learning,3.88
11-9111.00,Learning Strategies,3.25
11-9111.00,Monitoring,4.0
11-9121.00,Reading Comprehension,4.0
11-9121.00,Active Listening,4.0
11-9121.00,Writing,3.88
11-9121.00,Speaking,3.88
11-9121.00,Mathematics,3.12
11-9121.00,Science,4.12
11-9121.00,Critical Thinking,4.0
11-9121.00,Active Learning,3.5
11-9121.00,Learning Strategies,3.5
11-9121.00,Monitoring,4.0
11-9121.01,Reading Comprehension,4.0
11-9121.01,Active Listening,4.0
11-9121.01,Writing,4.0
11-9121.01,Speaking,3.88
11-9121.01,Mathematics,2.88
11-9121.01,Science,3.0
11-9121.01,Critical Thinking,3.75
11-9121.01,Active Learning,3.38
11-9121.01,Learning Strategies,3.12
11-9121.01,Monitoring,3.62
11-9121.02,Reading Comprehension,4.0
11-9121.02,Active Listening,4.0
11-9121.02,Writing,4.0
11-9121.02,Speaking,4.0
11-9121.02,Mathematics,3.25
11-9121.02,Science,3.0
11-9121.02,Critical Thinking,4.0
11-9121.02,Active Learning,3.25
11-9121.02,Learning Strategies,3.12
11-9121.02,Monitoring,3.25
11-9131.00,Reading Comprehension,4.0
11-9131.00,Active Listening,4.0
11-9131.00,Writing,3.25
11-9131.00,Speaking,4.0
11-9131.00,Mathematics,2.75
11-9131.00,Science,1.5
11-9131.00,Critical Thinking,3.75
11-9131.00,Active Learning,3.25
11-9131.00,Learning Strategies,3.38
11-9131.00,Monitoring,3.75
11-9141.00,Reading Comprehension,4.0
11-9141.00,Active Listening,3.88
11-9141.00,Writing,3.75
11-9141.00,Speaking,4.0
11-9141.00,Mathematics,3.0
11-9141.00,Science,1.12
11-9141.00,Critical Thinking,3.88
11-9141.00,Active Learning,3.12
11-9141.00,Learning Strategies,2.75
11-9141.00,Monitoring,3.38
11-9151.00,Reading Comprehension,3.75
11-9151.00,Active Listening,3.88
11-9151.00,Writing,3.75
11-9151.00,Speaking,3.75
11-9151.00,Mathematics,2.62
11-9151.00,Science,2.25
11-9151.00,Critical Thinking,3.88
11-9151.00,Active Learning,3.88
11-9151.00,Learning Strategies,3.62
11-9151.00,Monitoring,3.88
11-9161.00,Reading Comprehension,4.0
11-9161.00,Active Listening,4.0
11-9161.00,Writing,4.0
11-9161.00,Speaking,4.12
11-9161.00,Mathematics,3.0
11-9161.00,Science,1.88
11-9161.00,Critical Thinking,4.0
11-9161.00,Active Learning,3.75
11-9161.00,Learning Strategies,3.88
11-9161.00,Monitoring,4.0
11-9171.00,Reading Comprehension,3.62
11-9171.00,Active Listening,3.88
11-9171.00,Writing,3.12
11-9171.00,Speaking,3.5
11-9171.00,Mathematics,2.62
11-9171.00,Science,1.5
11-9171.00,Critical Thinking,3.5
11-9171.00,Active Learning,2.88
11-9171.00,Learning Strategies,2.88
11-9171.00,Monitoring,3.38
11-9179.01,Reading Comprehension,3.62
11-9179.01,Active Listening,3.75
11-9179.01,Writing,3.5
11-9179.01,Speaking,3.88
11-9179.01,Mathematics,2.12
11-9179.01,Science,1.75
11-9179.01,Critical Thinking,3.62
11-9179.01,Active Learning,3.38
11-9179.01,Learning Strategies,3.38
11-9179.01,Monitoring,3.38
11-9179.02,Reading Comprehension,3.38
11-9179.02,Active Listening,3.88
11-9179.02,Writing,3.0
11-9179.02,Speaking,4.0
11-9179.02,Mathematics,3.0
11-9179.02,Science,1.0
11-9179.02,Critical Thinking,3.88
11-9179.02,Active Learning,3.62
11-9179.02,Learning Strategies,3.38
11-9179.02,Monitoring,4.0
11-9199.01,Reading Comprehension,4.12
11-9199.01,Active Listening,4.0
11-9199.01,Writing,4.25
11-9199.01,Speaking,4.0
11-9199.01,Mathematics,2.38
11-9199.01,Science,2.38
11-9199.01,Critical Thinking,3.88
11-9199.01,Active Learning,3.5
11-9199.01,Learning Strategies,3.0
11-9199.01,Monitoring,3.62
11-9199.02,Reading Comprehension,4.0
11-9199.02,Active Listening,3.88
11-9199.02,Writing,3.88
11-9199.02,Speaking,3.88
11-9199.02,Mathematics,2.12
11-9199.02,Science,1.38
11-9199.02,Critical Thinking,4.0
11-9199.02,Active Learning,3.75
11-9199.02,Learning Strategies,3.25
11-9199.02,Monitoring,3.75
11-9199.08,Reading Comprehension,4.0
11-9199.08,Active Listening,4.0
11-9199.08,Writing,3.75
11-9199.08,Speaking,4.0
11-9199.08,Mathematics,2.75
11-9199.08,Science,1.0
11-9199.08,Critical Thinking,3.88
11-9199.08,Active Learning,3.75
11-9199.08,Learning Strategies,3.25
11-9199.08,Monitoring,3.88
11-9199.09,Reading Comprehension,3.88
11-9199.09,Active Listening,4.0
11-9199.09,Writing,3.75
11-9199.09,Speaking,3.88
11-9199.09,Mathematics,3.0
11-9199.09,Science,2.0
11-9199.09,Critical Thinking,3.88
11-9199.09,Active Learning,3.0
11-9199.09,Learning Strategies,3.0
11-9199.09,Monitoring,3.88
11-9199.10,Reading Comprehension,3.88
11-9199.10,Active Listening,3.75
11-9199.10,Writing,3.88
11-9199.10,Speaking,3.88
11-9199.10,Mathematics,3.0
11-9199.10,Science,1.75
11-9199.10,Critical Thinking,4.0
11-9199.10,Active Learning,3.38
11-9199.10,Learning Strategies,2.75
11-9199.10,Monitoring,3.5
11-9199.11,Reading Comprehension,4.0
11-9199.11,Active Listening,3.88
11-9199.11,Writing,3.88
11-9199.11,Speaking,4.0
11-9199.11,Mathematics,3.62
11-9199.11,Science,3.0
11-9199.11,Critical Thinking,4.0
11-9199.11,Active Learning,3.25
11-9199.11,Learning Strategies,3.0
11-9199.11,Monitoring,4.0
13-1011.00,Reading Comprehension,4.0
13-1011.00,Active Listening,4.0
13-1011.00,Writing,3.62
13-1011.00,Speaking,4.0
13-1011.00,Mathematics,2.12
13-1011.00,Science,1.62
13-1011.00,Critical Thinking,3.75
13-1011.00,Active Learning,3.5
13-1011.00,Learning Strategies,2.62
13-1011.00,Monitoring,2.88
13-1021.00,Reading Comprehension,3.5
13-1021.00,Active Listening,3.88
13-1021.00,Writing,3.25
13-1021.00,Speaking,3.75
13-1021.00,Mathematics,2.88
13-1021.00,Science,1.5
13-1021.00,Critical Thinking,3.88
13-1021.00,Active Learning,3.0
13-1021.00,Learning Strategies,2.5
13-1021.00,Monitoring,3.12
13-1022.00,Reading Comprehension,3.62
13-1022.00,Active Listening,3.88
13-1022.00,Writing,3.12
13-1022.00,Speaking,3.88
13-1022.00,Mathematics,3.12
13-1022.00,Science,1.25
13-1022.00,Critical Thinking,4.0
13-1022.00,Active Learning,3.38
13-1022.00,Learning Strategies,2.88
13-1022.00,Monitoring,3.38
13-1023.00,Reading Comprehension,4.12
13-1023.00,Active Listening,4.0
13-1023.00,Writing,4.0
13-1023.00,Speaking,4.0
13-1023.00,Mathematics,3.0
13-1023.00,Science,1.12
13-1023.00,Critical Thinking,3.88
13-1023.00,Active Learning,3.88
13-1023.00,Learning Strategies,3.0
13-1023.00,Monitoring,3.75
13-1031.00,Reading Comprehension,4.12
13-1031.00,Active Listening,4.0
13-1031.00,Writing,3.62
13-1031.00,Speaking,3.88
13-1031.00,Mathematics,2.88
13-1031.00,Science,1.38
13-1031.00,Critical Thinking,4.0
13-1031.00,Active Learning,3.25
13-1031.00,Learning Strategies,2.5
13-1031.00,Monitoring,3.38
13-1032.00,Reading Comprehension,3.5
13-1032.00,Active Listening,3.5
13-1032.00,Writing,3.75
13-1032.00,Speaking,3.75
13-1032.00,Mathematics,2.62
13-1032.00,Science,1.12
13-1032.00,Critical Thinking,3.38
13-1032.00,Active Learning,2.88
13-1032.00,Learning Strategies,2.12
13-1032.00,Monitoring,2.5
13-1041.00,Reading Comprehension,4.0
13-1041.00,Active Listening,3.75
13-1041.00,Writing,3.75
13-1041.00,Speaking,3.88
13-1041.00,Mathematics,2.12
13-1041.00,Science,1.0
13-1041.00,Critical Thinking,3.5
13-1041.00,Active Learning,3.0
13-1041.00,Learning Strategies,2.88
13-1041.00,Monitoring,3.38
13-1041.01,Reading Comprehension,4.0
13-1041.01,Active Listening,3.88
13-1041.01,Writing,3.88
13-1041.01,Speaking,3.88
13-1041.01,Mathematics,3.0
13-1041.01,Science,3.0
13-1041.01,Critical Thinking,4.0
13-1041.01,Active Learning,3.75
13-1041.01,Learning Strategies,3.0
13-1041.01,Monitoring,3.75
13-1041.03,Reading Comprehension,4.12
13-1041.03,Active Listening,4.25
13-1041.03,Writing,3.88
13-1041.03,Speaking,4.0
13-1041.03,Mathematics,2.5
13-1041.03,Science,1.62
13-1041.03,Critical Thinking,4.0
13-1041.03,Active Learning,3.75
13-1041.03,Learning Strategies,3.0
13-1041.03,Monitoring,3.38
13-1041.04,Reading Comprehension,4.0
13-1041.04,Active Listening,4.12
13-1041.04,Writing,4.0
13-1041.04,Speaking,4.0
13-1041.04,Mathematics,2.88
13-1041.04,Science,1.88
13-1041.04,Critical Thinking,4.0
13-1041.04,Active Learning,3.5
13-1041.04,Learning Strategies,3.0
13-1041.04,Monitoring,3.38
13-1041.06,Reading Comprehension,4.0
13-1041.06,Active Listening,3.88
13-1041.06,Writing,3.62
13-1041.06,Speaking,4.12
13-1041.06,Mathematics,2.62
13-1041.06,Science,3.25
13-1041.06,Critical Thinking,4.12
13-1041.06,Active Learning,3.38
13-1041.06,Learning Strategies,3.12
13-1041.06,Monitoring,3.25
13-1041.07,Reading Comprehension,4.0
13-1041.07,Active Listening,4.0
13-1041.07,Writing,4.0
13-1041.07,Speaking,4.0
13-1041.07,Mathematics,2.88
13-1041.07,Science,1.38
13-1041.07,Critical Thinking,4.0
13-1041.07,Active Learning,3.75
13-1041.07,Learning Strategies,3.0
13-1041.07,Monitoring,3.25
13-1041.08,Reading Comprehension,4.0
13-1041.08,Active Listening,4.0
13-1041.08,Writing,3.75
13-1041.08,Speaking,3.88
13-1041.08,Mathematics,2.88
13-1041.08,Science,1.12
13-1041.08,Critical Thinking,3.75
13-1041.08,Active Learning,3.25
13-1041.08,Learning Strategies,3.0
13-1041.08,Monitoring,3.12
13-1051.00,Reading Comprehension,4.0
13-1051.00,Active Listening,3.75
13-1051.00,Writing,3.5
13-1051.00,Speaking,3.88
13-1051.00,Mathematics,4.0
13-1051.00,Science,1.38
13-1051.00,Critical Thinking,3.75
13-1051.00,Active Learning,3.25
13-1051.00,Learning Strategies,2.88
13-1051.00,Monitoring,3.0
13-1071.00,Reading Comprehension,4.0
13-1071.00,Active Listening,4.0
13-1071.00,Writing,3.88
13-1071.00,Speaking,4.12
13-1071.00,Mathematics,2.0
13-1071.00,Science,1.12
13-1071.00,Critical Thinking,3.88
13-1071.00,Active Learning,3.25
13-1071.00,Learning Strategies,3.0
13-1071.00,Monitoring,3.0
13-1074.00,Reading Comprehension,2.75
13-1074.00,Active Listening,3.12
13-1074.00,Writing,2.75
13-1074.00,Speaking,3.38
13-1074.00,Mathematics,2.0
13-1074.00,Science,1.12
13-1074.00,Critical Thinking,3.0
13-1074.00,Active Learning,2.5
13-1074.00,Learning Strategies,2.38
13-1074.00,Monitoring,3.0
13-1075.00,Reading Comprehension,4.0
13-1075.00,Active Listening,4.38
13-1075.00,Writing,4.0
13-1075.00,Speaking,4.25
13-1075.00,Mathematics,2.38
13-1075.00,Science,1.0
13-1075.00,Critical Thinking,4.0
13-1075.00,Active Learning,3.5
13-1075.00,Learning Strategies,3.0
13-1075.00,Monitoring,3.38
13-1081.00,Reading Comprehension,3.88
13-1081.00,Active Listening,3.88
13-1081.00,Writing,3.38
13-1081.00,Speaking,3.88
13-1081.00,Mathematics,3.0
13-1081.00,Science,1.75
13-1081.00,Critical Thinking,4.0
13-1081.00,Active Learning,3.5
13-1081.00,Learning Strategies,3.0
13-1081.00,Monitoring,3.88
13-1081.01,Reading Comprehension,4.0
13-1081.01,Active Listening,4.0
13-1081.01,Writing,4.12
13-1081.01,Speaking,3.88
13-1081.01,Mathematics,4.0
13-1081.01,Science,2.62
13-1081.01,Critical Thinking,3.88
13-1081.01,Active Learning,4.0
13-1081.01,Learning Strategies,3.12
13-1081.01,Monitoring,3.38
13-1081.02,Reading Comprehension,4.0
13-1081.02,Active Listening,3.88
13-1081.02,Writing,3.38
13-1081.02,Speaking,3.75
13-1081.02,Mathematics,3.0
13-1081.02,Science,1.75
13-1081.02,Critical Thinking,4.0
13-1081.02,Active Learning,3.12
13-1081.02,Learning Strategies,2.75
13-1081.02,Monitoring,3.75
13-1082.00,Reading Comprehension,3.5
13-1082.00,Active Listening,3.75
13-1082.00,Writing,3.62
13-1082.00,Speaking,3.5
13-1082.00,Mathematics,2.75
13-1082.00,Science,1.38
13-1082.00,Critical Thinking,3.75
13-1082.00,Active Learning,3.5
13-1082.00,Learning Strategies,3.0
13-1082.00,Monitoring,3.62
13-1111.00,Reading Comprehension,4.12
13-1111.00,Active Listening,4.12
13-1111.00,Writing,4.0
13-1111.00,Speaking,4.0
13-1111.00,Mathematics,3.0
13-1111.00,Science,1.88
13-1111.00,Critical Thinking,4.12
13-1111.00,Active Learning,3.25
13-1111.00,Learning Strategies,3.0
13-1111.00,Monitoring,3.88
13-1121.00,Reading Comprehension,4.0
13-1121.00,Active Listening,4.0
13-1121.00,Writing,3.5
13-1121.00,Speaking,4.0
13-1121.00,Mathematics,2.5
13-1121.00,Science,1.25
13-1121.00,Critical Thinking,3.88
13-1121.00,Active Learning,3.38
13-1121.00,Learning Strategies,2.38
13-1121.00,Monitoring,3.5
13-1131.00,Reading Comprehension,4.0
13-1131.00,Active Listening,4.0
13-1131.00,Writing,4.0
13-1131.00,Speaking,4.12
13-1131.00,Mathematics,3.0
13-1131.00,Science,1.38
13-1131.00,Critical Thinking,3.88
13-1131.00,Active Learning,3.25
13-1131.00,Learning Strategies,2.88
13-1131.00,Monitoring,3.12
13-1141.00,Reading Comprehension,3.88
13-1141.00,Active Listening,3.88
13-1141.00,Writing,3.38
13-1141.00,Speaking,3.88
13-1141.00,Mathematics,3.12
13-1141.00,Science,1.88
13-1141.00,Critical Thinking,3.75
13-1141.00,Active Learning,3.38
13-1141.00,Learning Strategies,2.88
13-1141.00,Monitoring,3.12
13-1151.00,Reading Comprehension,3.88
13-1151.00,Active Listening,4.0
13-1151.00,Writing,3.88
13-1151.00,Speaking,4.38
13-1151.00,Mathematics,2.38
13-1151.00,Science,1.62
13-1151.00,Critical Thinking,3.88
13-1151.00,Active Learning,3.88
13-1151.00,Learning Strategies,4.12
13-1151.00,Monitoring,3.88
13-1161.00,Reading Comprehension,4.0
13-1161.00,Active Listening,4.0
13-1161.00,Writing,4.0
13-1161.00,Speaking,3.88
13-1161.00,Mathematics,3.12
13-1161.00,Science,2.0
