EmployeeNumber,JobRole,occupation_title,required_count,has_count,gap_count,skill_gap
143,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Excel, Microsoft Office software, Reading Comprehension"
144,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Excel, Writing"
145,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Active Learning, Reading Comprehension, Writing"
147,Laboratory Technician,Chemical Technicians,9,8,1,Critical Thinking
148,Manager,General and Operations Managers,9,7,2,"Monitoring, Speaking"
150,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Office software, Monitoring, Science"
151,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Microsoft PowerPoint, Science"
152,Sales Executive,Sales Managers,10,6,4,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension"
153,Manager,General and Operations Managers,9,8,1,Critical Thinking
154,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Reading Comprehension, Speaking"
155,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Microsoft Excel, Science"
158,Manager,General and Operations Managers,9,8,1,Monitoring
159,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Science"
160,Sales Executive,Sales Managers,10,7,3,"Microsoft Outlook, Microsoft PowerPoint, Monitoring"
161,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Excel, Monitoring, Science"
162,Research Director,Natural Sciences Managers,9,5,4,"Active Listening, Critical Thinking, Microsoft PowerPoint, Science"
163,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Microsoft Outlook"
164,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Monitoring, Reading Comprehension, Writing"
165,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Microsoft Office software, Speaking, Writing"
167,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Microsoft Excel, Reading Comprehension, Speaking"
169,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Science, Writing"
170,Manufacturing Director,Industrial Production Managers,10,8,2,"Microsoft Excel, Speaking"
171,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Reading Comprehension, Science, Writing"
174,Sales Executive,Sales Managers,10,9,1,Monitoring
175,Sales Executive,Sales Managers,10,7,3,"Active Learning, Active Listening, Monitoring"
176,Sales Executive,Sales Managers,10,9,1,Monitoring
177,Human Resources,Human Resources Specialists,10,7,3,"Active Listening, Critical Thinking, Microsoft Excel"
178,Manufacturing Director,Industrial Production Managers,10,8,2,"Microsoft Outlook, Microsoft PowerPoint"
179,Manufacturing Director,Industrial Production Managers,10,9,1,Critical Thinking
182,Sales Executive,Sales Managers,10,6,4,"Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension"
183,Sales Executive,Sales Managers,10,9,1,Microsoft Outlook
184,Human Resources,Human Resources Specialists,10,5,5,"Active Learning, Applicant tracking software, Critical Thinking, Microsoft Office software, Speaking"
190,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Office software, Microsoft Outlook, Monitoring"
192,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Reading Comprehension"
193,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Microsoft Excel, Science"
194,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft PowerPoint
195,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Microsoft Outlook, Reading Comprehension"
197,Research Scientist,Natural Sciences Managers,9,8,1,Science
198,Laboratory Technician,Chemical Technicians,9,7,2,"Critical Thinking, Microsoft Outlook"
199,Manager,General and Operations Managers,9,7,2,"Critical Thinking, Microsoft PowerPoint"
200,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Microsoft Excel"
201,Laboratory Technician,Chemical Technicians,9,8,1,Writing
202,Research Scientist,Natural Sciences Managers,9,6,3,"Critical Thinking, Monitoring, Science"
204,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Outlook, Speaking"
205,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Reading Comprehension
206,Laboratory Technician,Chemical Technicians,9,8,1,Monitoring
207,Sales Executive,Sales Managers,10,6,4,"Microsoft Excel, Monitoring, Reading Comprehension, Speaking"
208,Manufacturing Director,Industrial Production Managers,10,9,1,Learning Strategies
211,Manufacturing Director,Industrial Production Managers,10,7,3,"Microsoft Office software, Monitoring, Reading Comprehension"
214,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Writing"
215,Sales Executive,Sales Managers,10,9,1,Active Listening
216,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Writing
217,Research Scientist,Natural Sciences Managers,9,8,1,Science
218,Research Scientist,Natural Sciences Managers,9,8,1,Science
221,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Critical Thinking, Science"
223,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Speaking
224,Research Scientist,Natural Sciences Managers,9,6,3,"Critical Thinking, Microsoft Excel, Microsoft Office software"
226,Manager,General and Operations Managers,9,7,2,"Critical Thinking, Speaking"
227,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Microsoft PowerPoint, Science"
228,Sales Executive,Sales Managers,10,8,2,"Microsoft PowerPoint, Speaking"
230,Sales Executive,Sales Managers,10,5,5,"Critical Thinking, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension"
231,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Excel, Microsoft PowerPoint, Writing"
233,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft PowerPoint, Monitoring, Reading Comprehension"
235,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,6,3,"Critical Thinking, Microsoft Office software, Reading Comprehension"
238,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Outlook, Monitoring, Reading Comprehension"
239,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Monitoring, Reading Comprehension, Science"
240,Sales Executive,Sales Managers,10,8,2,"Microsoft Excel, Reading Comprehension"
241,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension"
242,Research Scientist,Natural Sciences Managers,9,5,4,"Microsoft Office software, Monitoring, Reading Comprehension, Science"
243,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Monitoring, Science"
244,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint, Speaking"
245,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Monitoring, Writing"
246,Research Scientist,Natural Sciences Managers,9,5,4,"Microsoft PowerPoint, Monitoring, Science, Writing"
247,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Excel, Writing"
248,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Active Listening, Critical Thinking"
249,Laboratory Technician,Chemical Technicians,9,8,1,Microsoft Excel
250,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft PowerPoint"
252,Research Scientist,Natural Sciences Managers,9,7,2,"Reading Comprehension, Writing"
253,Manager,General and Operations Managers,9,5,4,"Active Listening, Critical Thinking, Microsoft Excel, Microsoft PowerPoint"
254,Research Director,Natural Sciences Managers,9,6,3,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint"
256,Manufacturing Director,Industrial Production Managers,10,8,2,"Active Listening, Microsoft PowerPoint"
258,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Learning, Microsoft Outlook, Reading Comprehension, Speaking"
259,Manager,General and Operations Managers,9,7,2,"Microsoft Excel, Microsoft PowerPoint"
260,Research Scientist,Natural Sciences Managers,9,8,1,Reading Comprehension
261,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Learning Strategies, Microsoft PowerPoint, Speaking"
262,Research Scientist,Natural Sciences Managers,9,8,1,Science
264,Manager,General and Operations Managers,9,6,3,"Active Listening, Microsoft PowerPoint, Monitoring"
267,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Microsoft Excel"
269,Laboratory Technician,Chemical Technicians,9,6,3,"Monitoring, Science, Writing"
270,Manufacturing Director,Industrial Production Managers,10,7,3,"Critical Thinking, Microsoft Outlook, Speaking"
271,Manufacturing Director,Industrial Production Managers,10,8,2,"Microsoft Office software, Speaking"
273,Manufacturing Director,Industrial Production Managers,10,6,4,"Microsoft Excel, Microsoft Office software, Monitoring, Reading Comprehension"
274,Manufacturing Director,Industrial Production Managers,10,9,1,Microsoft PowerPoint
275,Manufacturing Director,Industrial Production Managers,10,9,1,Active Listening
277,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Microsoft PowerPoint, Monitoring"
281,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Excel, Reading Comprehension, Science"
282,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Microsoft Office software, Microsoft Outlook, Reading Comprehension"
283,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Monitoring"
284,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Excel, Writing"
286,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Microsoft Outlook, Writing"
287,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Learning, Salesforce software"
288,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Reading Comprehension, Writing"
291,Sales Executive,Sales Managers,10,6,4,"Active Listening, Microsoft Excel, Microsoft Office software, Microsoft Outlook"
292,Manufacturing Director,Industrial Production Managers,10,8,2,"Critical Thinking, Microsoft Outlook"
293,Sales Executive,Sales Managers,10,8,2,"Microsoft Excel, Microsoft Outlook"
296,Research Director,Natural Sciences Managers,9,7,2,"Active Listening, Microsoft Excel"
297,Research Scientist,Natural Sciences Managers,9,5,4,"Microsoft Office software, Microsoft PowerPoint, Monitoring, Science"
298,Manager,General and Operations Managers,9,6,3,"Active Listening, Critical Thinking, Speaking"
299,Sales Executive,Sales Managers,10,8,2,"Critical Thinking, Monitoring"
300,Research Scientist,Natural Sciences Managers,9,7,2,"Reading Comprehension, Science"
302,Sales Executive,Sales Managers,10,8,2,"Microsoft Excel, Speaking"
303,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Microsoft Office software, Speaking"
304,Laboratory Technician,Chemical Technicians,9,7,2,"Critical Thinking, Microsoft Excel"
305,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Excel, Reading Comprehension"
306,Research Director,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft PowerPoint, Monitoring, Writing"
307,Sales Executive,Sales Managers,10,8,2,"Microsoft Excel, Reading Comprehension"
308,Manufacturing Director,Industrial Production Managers,10,8,2,"Microsoft Excel, Microsoft Office software"
309,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Critical Thinking, Monitoring, Reading Comprehension"
311,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Reading Comprehension"
312,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Office software, Microsoft Outlook"
314,Sales Executive,Sales Managers,10,9,1,Speaking
315,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Office software, Monitoring"
316,Laboratory Technician,Chemical Technicians,9,8,1,Writing
319,Manager,General and Operations Managers,9,5,4,"Critical Thinking, Microsoft Excel, Microsoft Office software, Speaking"
321,Human Resources,Human Resources Specialists,10,8,2,"Microsoft Excel, Reading Comprehension"
323,Manager,General and Operations Managers,9,6,3,"Active Learning, Active Listening, Monitoring"
325,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Outlook, Monitoring, Science"
327,Manager,General and Operations Managers,9,7,2,"Active Learning, Reading Comprehension"
328,Laboratory Technician,Chemical Technicians,9,8,1,Microsoft Excel
329,Manager,General and Operations Managers,9,5,4,"Active Learning, Microsoft Excel, Monitoring, Speaking"
330,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Microsoft Excel
331,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Microsoft Outlook, Science"
332,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Excel, Monitoring, Writing"
333,Sales Executive,Sales Managers,10,9,1,Monitoring
334,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Monitoring, Writing"
335,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Excel, Microsoft PowerPoint, Writing"
336,Manager,General and Operations Managers,9,8,1,Reading Comprehension
337,Research Director,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Office software, Microsoft PowerPoint, Science"
338,Research Scientist,Natural Sciences Managers,9,7,2,"Science, Writing"
339,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Critical Thinking, Microsoft Excel, Monitoring"
340,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Microsoft Office software"
341,Manufacturing Director,Industrial Production Managers,10,7,3,"Active Listening, Learning Strategies, Microsoft Excel"
342,Manufacturing Director,Industrial Production Managers,10,7,3,"Learning Strategies, Microsoft Outlook, Reading Comprehension"
343,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Microsoft Outlook, Writing"
346,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Office software, Monitoring, Reading Comprehension"
347,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Microsoft Excel, Science"
349,Sales Executive,Sales Managers,10,6,4,"Active Learning, Microsoft PowerPoint, Reading Comprehension, Speaking"
350,Manufacturing Director,Industrial Production Managers,10,9,1,Learning Strategies
351,Laboratory Technician,Chemical Technicians,9,7,2,"Critical Thinking, Microsoft Excel"
352,Research Director,Natural Sciences Managers,9,6,3,"Microsoft Excel, Monitoring, Reading Comprehension"
353,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Microsoft PowerPoint"
355,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Excel, Microsoft Outlook, Reading Comprehension"
359,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Critical Thinking, Microsoft Excel"
361,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Excel, Microsoft Office software"
362,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Reading Comprehension"
363,Manager,General and Operations Managers,9,8,1,Active Listening
364,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension"
366,Sales Executive,Sales Managers,10,6,4,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension"
367,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Learning, Microsoft Excel, Speaking, Writing"
369,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Microsoft Outlook, Salesforce software"
372,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Microsoft Office software, Microsoft Outlook"
373,Laboratory Technician,Chemical Technicians,9,8,1,Microsoft Outlook
374,Manager,General and Operations Managers,9,5,4,"Active Learning, Critical Thinking, Microsoft Office software, Speaking"
376,Manager,General and Operations Managers,9,6,3,"Active Listening, Microsoft Excel, Reading Comprehension"
377,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Critical Thinking, Monitoring"
378,Sales Executive,Sales Managers,10,7,3,"Critical Thinking, Microsoft Excel, Microsoft Office software"
379,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Office software, Microsoft PowerPoint"
380,Research Director,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Excel, Monitoring, Reading Comprehension"
381,Manager,General and Operations Managers,9,7,2,"Microsoft Office software, Speaking"
382,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Microsoft Office software, Speaking"
384,Manufacturing Director,Industrial Production Managers,10,7,3,"Learning Strategies, Microsoft Outlook, Reading Comprehension"
385,Research Director,Natural Sciences Managers,9,6,3,"Microsoft PowerPoint, Monitoring, Science"
386,Research Director,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Office software, Science, Writing"
387,Sales Executive,Sales Managers,10,6,4,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension"
388,Sales Executive,Sales Managers,10,6,4,"Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension, Speaking"
389,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Critical Thinking, Microsoft Outlook, Science"
390,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Reading Comprehension, Salesforce software"
