Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearAtCompany,PromotionGapRatio,OverallSatisfaction,ExperienceRatio,ManagerStabilityRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
38,0,371,2,3,4,45,3,1,4,3944,4306,5,11,3,3,0,6,3,3,3,2,1,2,1314.6666666666667,0.3333333333333333,3.6666666666666665,0.5,0.6666666666666666,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
24,0,673,11,2,1,96,4,2,3,4011,8232,0,18,3,4,1,5,5,2,4,2,1,3,1002.75,0.25,2.6666666666666665,0.8,0.75,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,1,1218,9,4,3,82,2,1,1,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3,681.4,0.0,2.0,0.5,0.6,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
34,0,419,7,4,1,53,3,3,2,11994,21293,0,11,3,3,0,13,4,3,12,6,2,11,999.5,0.16666666666666666,2.0,0.9230769230769231,0.9166666666666666,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
21,0,391,15,2,3,96,3,1,4,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0,1232.0,0.0,3.6666666666666665,0.0,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
34,1,699,6,1,2,83,3,1,1,2960,17102,2,11,3,3,0,8,2,3,4,2,1,3,740.0,0.25,2.0,0.5,0.75,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
53,0,1282,5,3,3,58,3,5,3,19094,10735,4,11,3,4,1,26,3,2,14,13,4,8,1363.857142857143,0.2857142857142857,3.3333333333333335,0.5384615384615384,0.5714285714285714,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
32,1,1125,16,1,2,72,1,1,1,3919,4681,1,22,4,2,0,10,5,3,10,2,6,7,391.9,0.6,1.6666666666666667,1.0,0.7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
42,0,691,8,4,3,48,3,2,2,6825,21173,0,11,3,4,1,10,2,3,9,7,4,2,758.3333333333334,0.4444444444444444,3.0,0.9,0.2222222222222222,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
44,0,477,7,4,1,42,2,3,4,10248,2094,3,14,3,4,1,24,4,3,22,6,5,17,465.8181818181818,0.22727272727272727,3.0,0.9166666666666666,0.7727272727272727,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46,0,705,2,4,2,83,3,5,1,18947,22822,3,12,3,4,0,22,2,2,2,2,2,1,9473.5,1.0,2.3333333333333335,0.09090909090909091,0.5,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
33,0,924,2,3,3,78,3,1,4,2496,6670,4,11,3,4,0,7,3,3,1,1,0,0,2496.0,0.0,3.6666666666666665,0.14285714285714285,0.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
44,0,1459,10,4,4,41,3,2,4,6465,19121,2,13,3,4,0,9,5,4,4,2,1,3,1616.25,0.25,4.0,0.4444444444444444,0.75,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True
30,0,125,9,2,4,83,2,1,3,2206,16117,1,13,3,1,0,10,5,3,10,0,1,8,220.6,0.1,2.6666666666666665,1.0,0.8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
39,1,895,5,3,4,56,3,2,4,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0,2086.0,0.0,3.6666666666666665,0.05263157894736842,0.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
24,1,813,1,3,2,61,3,1,4,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0,1146.5,1.0,2.3333333333333335,0.3333333333333333,0.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
43,0,1273,2,2,4,72,4,1,3,2645,21923,1,12,3,4,2,6,3,2,5,3,1,4,529.0,0.2,3.6666666666666665,0.8333333333333334,0.8,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
50,1,869,3,2,1,86,2,1,3,2683,3810,1,14,3,3,0,3,2,3,3,2,0,2,894.3333333333334,0.0,2.3333333333333335,1.0,0.6666666666666666,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True
35,0,890,2,3,4,97,3,1,4,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2,1007.0,1.0,3.0,1.0,1.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
36,0,852,5,4,2,82,2,1,1,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0,3419.0,0.0,2.3333333333333335,0.16666666666666666,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
33,0,1141,1,3,3,42,4,2,1,5376,3193,2,19,3,1,2,10,3,3,5,3,1,3,1075.2,0.2,1.6666666666666667,0.5,0.6,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
35,0,464,4,2,3,75,3,1,4,1951,10910,1,12,3,3,1,1,3,3,1,0,0,0,1951.0,0.0,3.3333333333333335,1.0,0.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
27,0,1240,2,4,4,33,3,1,1,2341,19715,1,13,3,4,1,1,6,3,1,0,0,0,2341.0,0.0,3.0,1.0,0.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,1,1357,25,3,1,48,1,1,3,2293,10558,1,12,3,3,0,1,2,2,1,0,0,1,2293.0,0.0,2.3333333333333335,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
27,0,994,8,3,4,37,3,3,3,8726,2975,1,15,3,4,0,9,0,3,9,8,1,7,969.5555555555555,0.1111111111111111,3.6666666666666665,1.0,0.7777777777777778,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
30,0,721,1,2,3,58,3,2,4,4011,10781,1,23,4,4,0,12,2,3,12,8,3,7,334.25,0.25,3.6666666666666665,1.0,0.5833333333333334,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
41,1,1360,12,3,2,49,3,5,3,19545,16280,1,12,3,4,0,23,0,3,22,15,15,8,888.4090909090909,0.6818181818181818,3.0,0.9565217391304348,0.36363636363636365,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
34,0,1065,23,4,2,72,3,2,3,4568,10034,0,20,4,3,0,10,2,3,9,5,8,7,507.55555555555554,0.8888888888888888,2.6666666666666665,0.9,0.7777777777777778,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
37,0,408,19,2,2,73,3,1,2,3022,10227,4,21,4,1,0,8,1,3,1,0,0,0,3022.0,0.0,1.6666666666666667,0.125,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
46,0,1211,5,4,1,98,3,2,4,5772,20445,4,21,4,3,0,14,4,3,9,6,0,8,641.3333333333334,0.0,2.6666666666666665,0.6428571428571429,0.8888888888888888,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
35,0,1229,8,1,4,36,4,1,4,2269,4892,1,19,3,4,0,1,2,3,1,0,0,1,2269.0,0.0,4.0,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
48,1,626,1,2,1,98,2,3,3,5381,19294,9,13,3,4,0,23,2,3,1,0,0,0,5381.0,0.0,2.6666666666666665,0.043478260869565216,0.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
28,1,1434,5,4,3,50,3,1,3,3441,11179,1,13,3,3,0,2,3,2,2,2,2,2,1720.5,1.0,3.0,1.0,1.0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True
44,0,1488,1,5,2,75,3,2,1,5454,4009,5,21,4,3,1,9,2,2,4,3,1,3,1363.5,0.25,2.0,0.4444444444444444,0.75,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
35,0,1097,11,2,3,79,2,3,1,9884,8302,2,13,3,3,1,10,3,3,4,0,2,3,2471.0,0.5,2.3333333333333335,0.4,0.75,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
26,0,1443,23,3,3,47,2,2,4,4157,21436,7,19,3,3,1,5,2,2,2,2,0,0,2078.5,0.0,3.3333333333333335,0.4,0.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
33,0,515,1,2,1,98,3,3,4,13458,15146,1,12,3,3,0,15,1,3,15,14,8,12,897.2,0.5333333333333333,2.6666666666666665,1.0,0.8,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
35,0,853,18,5,2,71,3,3,1,9069,11031,1,22,4,4,1,9,3,2,9,8,1,8,1007.6666666666666,0.1111111111111111,2.3333333333333335,1.0,0.8888888888888888,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
35,0,1142,23,4,3,30,3,1,1,4014,16002,3,15,3,3,1,4,3,3,2,2,2,2,2007.0,1.0,2.3333333333333335,0.5,1.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
31,0,655,7,4,4,48,3,2,4,5915,9528,3,22,4,4,1,10,3,2,7,7,1,7,845.0,0.14285714285714285,4.0,0.7,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
37,0,1115,1,4,1,51,2,2,3,5993,2689,1,18,3,3,1,7,2,4,7,5,0,7,856.1428571428571,0.0,2.3333333333333335,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
32,0,427,1,3,1,33,3,2,4,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8,684.6666666666666,0.7777777777777778,2.3333333333333335,1.0,0.8888888888888888,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
38,0,653,29,5,4,50,3,2,4,2406,5456,1,11,3,4,0,10,2,3,10,3,9,9,240.6,0.9,4.0,1.0,0.9,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
50,0,989,7,2,2,43,2,5,3,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8,694.074074074074,0.48148148148148145,3.0,0.9310344827586207,0.2962962962962963,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
59,0,1435,25,3,1,99,3,3,1,7637,2354,7,11,3,4,0,28,3,2,21,16,7,9,363.6666666666667,0.3333333333333333,2.0,0.75,0.42857142857142855,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
36,0,1223,8,3,3,59,3,3,3,10096,8202,1,13,3,2,3,17,2,3,17,14,12,8,593.8823529411765,0.7058823529411765,2.6666666666666665,1.0,0.47058823529411764,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,0,836,8,3,4,33,3,4,3,14756,19730,2,14,3,3,3,21,2,3,5,0,0,2,2951.2,0.0,3.3333333333333335,0.23809523809523808,0.4,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
36,0,1195,11,3,2,95,2,2,2,6499,22656,1,13,3,3,0,6,3,3,6,5,0,3,1083.1666666666667,0.0,2.3333333333333335,1.0,0.5,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
45,0,1339,7,3,2,59,3,3,1,9724,18787,2,17,3,3,1,25,2,3,1,0,0,0,9724.0,0.0,2.0,0.04,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
35,0,664,1,3,2,79,3,1,1,2194,5868,4,13,3,4,1,5,2,2,3,2,1,2,731.3333333333334,0.3333333333333333,2.3333333333333335,0.6,0.6666666666666666,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
36,1,318,9,3,4,79,2,1,3,3388,21777,0,17,3,1,1,2,0,2,1,0,0,0,3388.0,0.0,2.6666666666666665,0.5,0.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
59,0,1225,1,1,1,57,2,2,3,5473,24668,7,11,3,4,0,20,2,2,4,3,1,3,1368.25,0.25,2.6666666666666665,0.2,0.75,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
29,0,1328,2,3,3,76,3,1,2,2703,4956,0,23,4,4,1,6,3,3,5,4,0,4,540.6,0.0,3.0,0.8333333333333334,0.8,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
31,0,1082,1,4,3,87,3,1,2,2501,18775,1,17,3,2,0,1,4,3,1,1,1,0,2501.0,1.0,2.3333333333333335,1.0,0.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
32,0,548,1,3,2,66,3,2,2,6220,7346,1,17,3,2,2,10,3,3,10,4,0,9,622.0,0.0,2.0,1.0,0.9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
36,0,132,6,3,2,55,4,1,4,3038,22002,3,12,3,2,0,5,3,3,1,0,0,0,3038.0,0.0,2.6666666666666665,0.2,0.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
31,0,746,8,4,3,61,3,2,4,4424,20682,1,23,4,4,0,11,2,3,11,7,1,8,402.1818181818182,0.09090909090909091,3.6666666666666665,1.0,0.7272727272727273,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
35,0,776,1,4,3,32,2,2,1,4312,23016,0,14,3,2,0,16,2,3,15,13,2,8,287.46666666666664,0.13333333333333333,2.0,0.9375,0.5333333333333333,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
45,0,193,6,4,4,52,3,3,1,13245,15067,4,14,3,2,0,17,3,4,0,0,0,0,13245.0,0.0,2.3333333333333335,0.0,0.0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True
37,0,397,7,4,1,30,3,3,3,13664,25258,4,13,3,1,0,16,3,4,5,2,0,2,2732.8,0.0,1.6666666666666667,0.3125,0.4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
46,0,945,5,2,2,80,3,2,2,5021,10425,8,22,4,4,1,16,2,3,4,2,0,2,1255.25,0.0,2.6666666666666665,0.25,0.5,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True
30,0,852,1,1,4,55,2,2,4,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0,512.6,0.3,3.6666666666666665,1.0,0.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
35,0,1214,1,3,2,30,2,1,3,2859,26278,1,18,3,1,0,6,3,3,6,4,0,4,476.5,0.0,2.0,1.0,0.6666666666666666,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
55,0,111,1,2,1,70,3,3,4,10239,18092,3,14,3,4,1,24,4,3,1,0,1,0,10239.0,1.0,3.0,0.041666666666666664,0.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
38,0,573,6,3,2,79,1,2,4,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9,409.9230769230769,0.07692307692307693,3.3333333333333335,0.7647058823529411,0.6923076923076923,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
34,0,1153,1,2,1,94,3,2,2,4325,17736,1,15,3,3,0,5,2,3,5,2,1,3,865.0,0.2,2.0,1.0,0.6,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
56,0,1400,7,3,4,49,1,3,4,7260,21698,4,11,3,1,0,37,3,2,6,4,0,2,1210.0,0.0,3.0,0.16216216216216217,0.3333333333333333,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
23,0,541,2,1,3,62,3,1,1,2322,9518,3,13,3,3,1,3,3,3,0,0,0,0,2322.0,0.0,2.3333333333333335,0.0,0.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
51,0,432,9,4,4,96,3,1,4,2075,18725,3,23,4,2,2,10,4,3,4,2,0,3,518.75,0.0,3.3333333333333335,0.4,0.75,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
30,0,288,2,3,3,99,2,2,4,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8,377.45454545454544,0.9090909090909091,2.6666666666666665,1.0,0.7272727272727273,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
46,1,669,9,2,3,64,2,3,4,9619,13596,1,16,3,4,0,9,3,3,9,8,4,7,1068.7777777777778,0.4444444444444444,3.6666666666666665,1.0,0.7777777777777778,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
40,0,530,1,4,3,78,2,4,2,13503,14115,1,22,4,4,1,22,3,2,22,3,11,11,613.7727272727273,0.5,3.0,1.0,0.5,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
51,0,632,21,4,3,71,3,2,4,5441,8423,0,22,4,4,0,11,2,1,10,7,1,0,544.1,0.1,3.6666666666666665,0.9090909090909091,0.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
30,0,1334,4,2,3,63,2,2,2,5209,19760,1,12,3,2,3,11,4,2,11,8,2,7,473.54545454545456,0.18181818181818182,2.3333333333333335,1.0,0.6363636363636364,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,0,638,1,3,3,40,2,3,1,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5,1067.3,0.9,2.3333333333333335,0.47619047619047616,0.5,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
32,0,1093,6,4,2,87,3,2,3,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7,455.45454545454544,0.45454545454545453,2.0,0.9166666666666666,0.6363636363636364,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
54,0,1217,2,4,1,60,3,3,3,13549,24001,9,12,3,1,1,16,5,1,4,3,0,3,3387.25,0.0,1.6666666666666667,0.25,0.75,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
24,0,1353,3,2,1,33,3,2,3,4999,17519,0,21,4,1,1,4,2,2,3,2,0,2,1666.3333333333333,0.0,1.6666666666666667,0.75,0.6666666666666666,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
28,0,120,4,3,2,43,3,2,3,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4,844.2,0.0,2.3333333333333335,1.0,0.8,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
58,0,682,10,4,4,37,3,4,3,13872,24409,0,13,3,3,0,38,1,2,37,10,1,8,374.9189189189189,0.02702702702702703,3.3333333333333335,0.9736842105263158,0.21621621621621623,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
44,0,489,23,3,2,67,3,2,2,2042,25043,4,12,3,3,1,17,3,4,3,2,1,2,680.6666666666666,0.3333333333333333,2.3333333333333335,0.17647058823529413,0.6666666666666666,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
37,1,807,6,4,3,63,3,1,1,2073,23648,4,22,4,4,0,7,3,3,3,2,0,2,691.0,0.0,2.6666666666666665,0.42857142857142855,0.6666666666666666,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
32,0,827,1,1,4,71,3,1,1,2956,15178,1,13,3,4,0,1,2,3,1,0,0,0,2956.0,0.0,3.0,1.0,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
20,1,871,6,3,4,66,2,1,4,2926,19783,1,18,3,2,0,1,5,3,1,0,1,0,2926.0,1.0,3.3333333333333335,1.0,0.0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
34,0,665,6,4,1,41,3,2,3,4809,12482,1,14,3,3,0,16,3,3,16,13,2,10,300.5625,0.125,2.3333333333333335,1.0,0.625,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
37,0,1040,2,2,3,100,2,2,4,5163,15850,5,14,3,4,1,17,2,4,1,0,0,0,5163.0,0.0,3.6666666666666665,0.058823529411764705,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
59,0,1420,2,4,3,32,2,5,4,18844,21922,9,21,4,4,1,30,3,3,3,2,2,2,6281.333333333333,0.6666666666666666,3.6666666666666665,0.1,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
